SKU,NAME ,Thikness_mm,Length_m,Tipo,Familia ,Sub_Familia,unit_base,Largo_min_max,cost_sin_iva,sale_sin_iva,sale_iva_inc,web_sin_iva,web_iva_inc
,,,,,,,,,,,,,
,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",,,,,,,,,,,,
,Arandela Plana Hierro Galv. 3/8,Estandar ,N/A,Anclajes / Fijaciones ,ESTANDAR ,ESTANDAR ,Unit,N/A,0.240,0.29,0.35,0.34,0.41
,Rollo Membrana Autoadhesiva (30 cm x 10 m) DENVERFITA,Estandar ,N/A,Accesorio,ESTANDAR ,ESTANDAR ,Unit,N/A,13.850,16.62,20.28,19.39,23.66
,,,,,,,,,,,,,
,Faltan Tornillos autoperfoantes para cotizar cuando retiren de BROMYROS ,,,,,,,,,,,,
,Soportes para canalones ISOROOF cual utilizan?,,,,,,,,,,,,
,,,,,,,,,,,,,
," EPS, Cat. II",,,,,,,,C. Unit UY$,,,,
,1mx1mx1cm (Paquetes de 60 uds),,,,,,,,46.00,30%,13.8000,,
,1mx1mx2cm  (Paquetes de 30 uds),,,,,,,,83.00,30%,24.9000,,
,1mx1mx3cm (Paquetes de 20 uds),,,,,,,,123.00,30%,36.9000,,
,1mx1mx5cm (Paquetes de 12 uds),,,,,,,,207.00,30%,62.1000,,
,3x1x5cm (Paquetes de 12 uds),,,,,,,,855.00,30%,256.5000,,
,autotrabante  (Paquetes de 12 uds),,,,,,,,553.00,30%,165.9000,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Pistola de Silicona ,,,,,,,,25.29,31.61,38.57,,
,Tornillos ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
